n,serial_s,pthread_s,omp_s
500000,0.008816,0.001338,
1e+06,,,
1.5e+06,,,
2e+06,0.000000,0.000130,
2.5e+06,0.000000,0.000132,
3e+06,0.000000,0.000137,
3.5e+06,0.000000,0.000128,
4e+06,0.000000,0.000128,
4.5e+06,0.000001,0.000130,
5e+06,0.000000,0.000147,
5.5e+06,0.000000,0.000129,
6e+06,0.000001,0.000147,
6.5e+06,0.000000,0.000126,
7e+06,0.000000,0.000126,
7.5e+06,0.000000,0.000136,
8e+06,0.000000,0.000148,
8.5e+06,0.000000,0.000130,
9e+06,0.000000,0.000134,
9.5e+06,0.000001,0.000140,
1e+07,,,
1.05e+07,,,
1.1e+07,,,
1.15e+07,,,
1.2e+07,,,
1.25e+07,,,
1.3e+07,,,
1.35e+07,,,
1.4e+07,,,
1.45e+07,,,
1.5e+07,,,
