threads,serial_s,pthread_s,omp_s
1,0.519364,0.514015,
2,0.519364,0.262617,
3,0.519364,0.185237,
4,0.519364,0.142046,
5,0.519364,0.112614,
6,0.519364,0.094975,
7,0.519364,0.081765,
8,0.519364,0.072726,
9,0.519364,0.064461,
10,0.519364,0.058979,
11,0.519364,0.064079,
12,0.519364,0.059332,
13,0.519364,0.062534,
14,0.519364,0.058794,
15,0.519364,0.062903,
16,0.519364,0.063927,
17,0.519364,0.063857,
18,0.519364,0.064982,
19,0.519364,0.061007,
20,0.519364,0.060995,
21,0.519364,0.060385,
22,0.519364,0.063642,
23,0.519364,0.061736,
24,0.519364,0.059861,
25,0.519364,0.059632,
26,0.519364,0.060072,
27,0.519364,0.057780,
28,0.519364,0.059195,
